	a	b	c	d	e	f	g	h	i	j	k	l	m	n	o	p	q	r	s	t	u	v	w	x	y	z
OTU_72	0	0	0	2308	0	0	0	5366	0	508	0	1682	0	0	0	4434	0	0	0	0	4273	0	0	0	3941	0
OTU_73	0	0	0	3149	740	0	2078	0	0	733	4870	0	0	4429	754	0	0	3381	2246	79	0	0	0	0	0	0
OTU_74	2134	0	2610	993	0	0	3335	0	2114	0	0	0	2704	0	0	0	0	0	0	0	0	4877	1945	0	463	0
OTU_75	2279	0	0	0	0	0	0	0	0	0	0	573	0	2996	0	0	0	0	0	0	0	4617	5043	0	0	440
OTU_76	0	2640	0	0	0	5128	0	2866	0	1391	2174	0	1396	0	1732	2677	0	3494	3333	4191	0	0	2893	1660	3072	0
OTU_77	3354	0	0	0	0	0	3639	2470	428	3502	470	3911	0	0	0	0	0	0	0	918	767	0	0	1989	1740	4053
OTU_78	0	4868	3430	0	0	0	0	733	0	0	0	0	0	0	0	0	0	0	1863	707	0	0	0	1035	0	0
OTU_79	0	3290	0	0	0	0	4677	0	0	0	0	0	0	5331	0	0	5802	3188	0	2276	0	0	2030	0	0	0
OTU_80	4115	0	0	0	0	4885	0	0	0	0	0	2061	0	6002	0	3507	2413	0	0	3803	0	0	0	4147	754	3777
OTU_81	0	4159	0	0	0	0	0	2555	0	0	0	4179	2357	0	0	1346	0	0	2505	0	0	0	0	2869	0	3824
OTU_82	310	0	0	0	0	3475	0	3131	0	0	0	1698	0	0	0	1890	0	0	0	0	0	0	3742	0	0	0
OTU_83	4060	0	0	457	0	0	0	5202	0	0	4968	2738	0	916	0	4100	0	2087	0	431	4515	3307	1511	0	3326	1690
OTU_84	1402	0	3640	0	0	0	0	0	0	0	0	0	0	5523	0	0	0	0	0	568	0	0	125	3606	0	0
OTU_85	400	0	0	676	2069	0	3879	0	0	0	0	0	0	0	4674	4133	0	2456	1173	0	2207	0	0	0	0	1308
OTU_86	0	0	1047	3896	93	0	0	4389	0	5757	0	0	1750	3117	0	0	2067	691	3920	0	3588	0	0	0	0	1043
OTU_87	0	0	0	0	0	3329	0	1351	2553	0	0	1745	0	0	0	0	0	3276	0	3587	0	2624	5467	53	4907	0
OTU_88	3425	0	0	0	0	0	0	0	1271	0	0	449	0	0	0	4021	3811	0	0	0	2054	0	1464	2429	0	0
OTU_89	0	0	0	0	1555	0	0	0	0	0	0	0	0	0	1911	0	0	0	0	0	0	0	2502	0	5958	3881
OTU_90	0	3057	0	2933	2886	0	0	0	482	0	0	1164	0	0	0	0	0	0	372	0	702	0	0	0	0	860
OTU_91	0	0	6254	0	4634	5197	0	0	0	1521	4605	0	3201	0	0	2941	0	3692	0	0	78	3419	0	0	2549	0
OTU_92	0	0	248	0	515	0	1574	4933	0	228	1181	0	648	6023	0	4576	6317	0	0	0	853	0	1863	0	0	0
OTU_93	1332	5255	0	2726	0	1303	0	2082	0	0	0	2464	3914	0	0	0	3438	0	0	0	0	2367	0	3122	0	0
OTU_94	1876	283	0	2628	0	0	4239	0	0	4629	0	0	0	0	0	0	0	2344	2289	0	1934	5055	0	0	0	0
OTU_95	0	0	0	0	3195	0	1273	0	289	5897	5254	1148	0	150	1472	3175	0	2371	4074	3787	0	0	2233	2046	0	3629
OTU_96	0	3014	0	0	0	1955	0	0	0	0	0	4442	4623	0	0	3080	0	0	0	0	0	5386	0	0	3478	0
OTU_97	4415	3803	5356	0	2707	0	0	0	2542	6064	0	0	0	0	5585	0	0	3184	0	0	0	0	3518	4605	0	917
OTU_98	1691	0	0	4172	0	3679	0	0	0	0	0	4760	4607	0	0	0	0	0	0	0	0	175	2969	4513	0	0
OTU_99	0	4736	1929	0	3954	4601	0	0	127	0	0	0	4145	0	4686	0	3089	832	1787	0	0	0	0	0	0	1393
OTU_100	2900	0	4560	958	5493	1380	4393	3248	0	0	474	0	0	0	2714	0	1002	0	0	0	0	0	5479	200	6317	0
