	a	b	c	d	e	f	g	h	i	j	k	l	m	n	o	p	q	r	s	t	u	v	w	x	y	z
OTU_65	1190	1687	0	1120	0	0	0	0	1462	0	0	0	0	0	2317	0	0	1543	239	2461	1487	0	0	1429	0	89
OTU_66	1593	827	2036	629	1528	0	0	0	0	2113	0	1627	1268	0	569	0	2620	0	0	0	0	0	0	0	0	1564
OTU_67	0	0	109	0	0	0	2109	0	2225	0	845	0	2314	0	0	0	492	0	567	0	674	0	0	0	0	763
OTU_68	0	0	0	0	133	0	758	0	1603	1219	0	0	805	0	1119	0	0	0	0	0	873	1795	0	2239	2097	0
OTU_69	225	0	0	2110	0	0	0	1121	2462	0	0	2408	379	2699	1941	2459	2542	0	0	2362	0	1535	0	0	771	1914
OTU_70	0	818	868	0	0	0	0	82	0	0	0	1756	2160	170	2471	0	432	0	2144	0	0	1221	275	0	303	989
OTU_71	0	0	2113	0	0	0	1965	2026	203	0	2498	0	0	0	63	0	1452	0	389	0	0	0	0	0	2290	1848
OTU_72	0	0	0	1150	0	0	0	2618	0	252	0	834	0	0	0	2167	0	0	0	0	2098	0	0	0	1955	0
OTU_73	0	0	0	1606	361	0	1028	0	0	360	2410	0	0	2169	372	0	0	1657	1112	37	0	0	0	0	0	0
OTU_74	1022	0	1266	485	0	0	1681	0	1058	0	0	0	1350	0	0	0	0	0	0	0	0	2379	966	0	224	0
OTU_75	1123	0	0	0	0	0	0	0	0	0	0	280	0	1482	0	0	0	0	0	0	0	2299	2487	0	0	202
OTU_76	0	1305	0	0	0	2519	0	1425	0	687	1060	0	683	0	854	1342	0	1752	1665	2047	0	0	1441	823	1534	0
OTU_77	1684	0	0	0	0	0	1756	1196	210	1726	223	1935	0	0	0	0	0	0	0	451	366	0	0	1016	854	1980
OTU_78	0	2391	1674	0	0	0	0	369	0	0	0	0	0	0	0	0	0	0	880	345	0	0	0	512	0	0
OTU_79	0	1625	0	0	0	0	2351	0	0	0	0	0	0	2604	0	0	2863	1557	0	1131	0	0	992	0	0	0
OTU_80	2047	0	0	0	0	2408	0	0	0	0	0	1010	0	2970	0	1701	1182	0	0	1848	0	0	0	2025	370	1882
OTU_81	0	2048	0	0	0	0	0	1217	0	0	0	2044	1179	0	0	665	0	0	1228	0	0	0	0	1406	0	1850
OTU_82	148	0	0	0	0	1743	0	1569	0	0	0	837	0	0	0	960	0	0	0	0	0	0	1794	0	0	0
OTU_83	1999	0	0	202	0	0	0	2557	0	0	2490	1359	0	455	0	2020	0	1020	0	199	2238	1637	724	0	1650	817
OTU_84	678	0	1803	0	0	0	0	0	0	0	0	0	0	2748	0	0	0	0	0	265	0	0	65	1832	0	0
OTU_85	193	0	0	325	1010	0	1924	0	0	0	0	0	0	0	2304	2069	0	1161	579	0	1106	0	0	0	0	647
OTU_86	0	0	523	1889	43	0	0	2168	0	2854	0	0	855	1493	0	0	1014	338	1934	0	1770	0	0	0	0	516
OTU_87	0	0	0	0	0	1649	0	663	1295	0	0	844	0	0	0	0	0	1560	0	1714	0	1304	2661	26	2408	0
OTU_88	1662	0	0	0	0	0	0	0	615	0	0	229	0	0	0	1981	1899	0	0	0	1053	0	710	1139	0	0
OTU_89	0	0	0	0	772	0	0	0	0	0	0	0	0	0	942	0	0	0	0	0	0	0	1230	0	2956	1920
OTU_90	0	1509	0	1454	1407	0	0	0	235	0	0	574	0	0	0	0	0	0	187	0	344	0	0	0	0	395
OTU_91	0	0	3059	0	2321	2606	0	0	0	759	2241	0	1550	0	0	1423	0	1889	0	0	40	1674	0	0	1240	0
OTU_92	0	0	121	0	258	0	749	2425	0	112	573	0	323	2996	0	2258	3126	0	0	0	417	0	911	0	0	0
OTU_93	640	2548	0	1376	0	652	0	1010	0	0	0	1270	1934	0	0	0	1712	0	0	0	0	1164	0	1527	0	0
OTU_94	936	135	0	1299	0	0	2069	0	0	2271	0	0	0	0	0	0	0	1170	1133	0	953	2489	0	0	0	0
OTU_95	0	0	0	0	1546	0	636	0	136	2902	2572	570	0	73	726	1564	0	1218	2017	1892	0	0	1090	1001	0	1777
OTU_96	0	1475	0	0	0	966	0	0	0	0	0	2166	2261	0	0	1509	0	0	0	0	0	2659	0	0	1713	0
OTU_97	2124	1843	2666	0	1354	0	0	0	1271	2986	0	0	0	0	2753	0	0	1589	0	0	0	0	1722	2240	0	438
OTU_98	863	0	0	2056	0	1806	0	0	0	0	0	2318	2276	0	0	0	0	0	0	0	0	92	1466	2220	0	0
OTU_99	0	2324	947	0	1935	2288	0	0	69	0	0	0	2035	0	2310	0	1509	402	897	0	0	0	0	0	0	672
OTU_100	1422	0	2261	468	2713	698	2135	1572	0	0	227	0	0	0	1338	0	493	0	0	0	0	0	2744	99	3109	0
